  1    1  2  9.5193933  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
           1  'Pb '    188851.247172114     
    1    1      0.0000000000      0.0000000000      0.0000000000
 F
   6   6   6
   1   1   1   1
   1   1   1   4.05181838889E-02
   2   1   1  -4.62432683428E-03
   3   1   1  -8.65940138889E-04
   4   1   1   0.00000000000E+00
   5   1   1  -8.65940138889E-04
   6   1   1  -4.62432683428E-03
   1   2   1   1.42578798002E-03
   2   2   1   1.63829398148E-04
   3   2   1  -1.58853115315E-04
   4   2   1   0.00000000000E+00
   5   2   1   2.70858185475E-04
   6   2   1  -4.66189342593E-03
   1   3   1  -1.96780555556E-05
   2   3   1  -1.02298128197E-04
   3   3   1   1.38862500000E-05
   4   3   1   0.00000000000E+00
   5   3   1  -7.66664722222E-04
   6   3   1   7.72647818372E-05
   1   4   1   0.00000000000E+00
   2   4   1   0.00000000000E+00
   3   4   1   0.00000000000E+00
   4   4   1   0.00000000000E+00
   5   4   1   0.00000000000E+00
   6   4   1   0.00000000000E+00
   1   5   1  -1.96780555556E-05
   2   5   1   7.72647818372E-05
   3   5   1  -7.66664722222E-04
   4   5   1   0.00000000000E+00
   5   5   1   1.38862500000E-05
   6   5   1  -1.02298128197E-04
   1   6   1   1.42578798002E-03
   2   6   1  -4.66189342593E-03
   3   6   1   2.70858185475E-04
   4   6   1   0.00000000000E+00
   5   6   1  -1.58853115315E-04
   6   6   1   1.63829398148E-04
   1   1   2  -4.62432683428E-03
   2   1   2   3.01794814815E-04
   3   1   2  -2.58040768937E-04
   4   1   2   0.00000000000E+00
   5   1   2   1.17959074998E-04
   6   1   2   1.42094851852E-03
   1   2   2   1.63829398148E-04
   2   2   2   9.43935615110E-05
   3   2   2  -4.69292592593E-05
   4   2   2   0.00000000000E+00
   5   2   2   1.12330185185E-04
   6   2   2   3.09250935938E-04
   1   3   2  -1.02298128197E-04
   2   3   2   9.26429629630E-05
   3   3   2  -3.30183411448E-05
   4   3   2   0.00000000000E+00
   5   3   2   1.94697265278E-04
   6   3   2   5.06156481481E-05
   1   4   2   0.00000000000E+00
   2   4   2   0.00000000000E+00
   3   4   2   0.00000000000E+00
   4   4   2   0.00000000000E+00
   5   4   2   0.00000000000E+00
   6   4   2   0.00000000000E+00
   1   5   2   7.72647818372E-05
   2   5   2   3.05734074074E-04
   3   5   2   2.77839071917E-04
   4   5   2   0.00000000000E+00
   5   5   2  -5.61046539088E-05
   6   5   2   5.06156481481E-05
   1   6   2  -4.66189342593E-03
   2   6   2  -1.42902916029E-03
   3   6   2   2.16934537037E-04
   4   6   2   0.00000000000E+00
   5   6   2  -1.18834074074E-04
   6   6   2   3.09250935938E-04
   1   1   3  -8.65940138889E-04
   2   1   3  -2.58040768937E-04
   3   1   3  -1.09234444444E-04
